  0.0000000000    0.4550000000 
  0.0100000000    0.1000000000    174    199 
  0.1440142734    0.1455590451    0.1471583689    0.1488122616    0.1505206340
  0.1522832876    0.1540999116    0.1559700831    0.1578932663    0.1598688132
  0.1618961904    0.1639741254    0.1661018339    0.1682782449    0.1705021907
  0.1727724106    0.1750875546    0.1774461865    0.1798467861    0.1822877502
  0.1847673922    0.1872835425    0.1898352640    0.1924201912    0.1950358518
  0.1976802930    0.2003511323    0.2030457756    0.2057613543    0.2084946358
  0.2112418977    0.2139987506    0.2167598912    0.2195187531    0.2222670255
  0.2249939803    0.2276852460    0.2303216265    0.2328774041    0.2353174982
  0.2375949347    0.2396504826    0.2414228617    0.2428869419    0.2441364945
  0.2453022225    0.0000000000    0.0000000000    0.0000000000    0.0000000000
